#pfamid seq_len neff distprob_norm distprob_raw estimated_tmscore probability_tmscore_gt_05
PF01682 103 254 -0.10623 -66.39 0.48975 0.48215
PF01688 158 22 -0.07387 -123.21 0.40697 0.24617
PF01690 485 18 -0.05986 -327.12 0.34335 0.08567
PF01691 136 31 -0.09205 -78.52 0.43109 0.309
PF01705 59 108 -0.10641 -26.92 0.45433 0.37108
PF01708 92 16 -0.01093 -0.08 0.2267 0.03885
PF01718 548 30 -0.05225 -417.51 0.32634 0.05516
PF01723 191 44 -0.05657 -64.43 0.26571 0.07373
PF01757 475 1931 -0.08984 -491.54 0.49736 0.44565
PF01763 583 33 -0.04244 -427.31 0.30856 0.02986
PF01803 300 179 -0.06653 -195.4 0.40207 0.22619
PF01809 67 1766 -0.15044 -38.21 0.63141 0.8226
PF01827 167 1172 -0.11862 -133.56 0.61257 0.81434
PF01830 243 11 -0.05562 -132.98 0.33282 0.11316
PF01837 358 99 -0.07425 -353.06 0.4774 0.42063
PF01856 232 248 -0.08661 -182.31 0.49782 0.51715
PF01889 276 228 -0.10302 -272.68 0.63901 0.82006
PF01901 364 532 -0.06354 -257.41 0.39651 0.20517
PF01925 238 8962 -0.13511 -325.48 0.76961 0.97041
PF01940 355 678 -0.08349 -366.21 0.53092 0.55651
PF01944 180 1771 -0.15652 -222.41 0.79156 0.98279
PF01955 216 463 -0.10668 -241.32 0.68445 0.89567
PF01970 421 1202 -0.11262 -579.4 0.79614 0.95628
PF01976 155 335 -0.10922 -138.39 0.59419 0.76853
PF01986 93 509 -0.11482 -60.85 0.53043 0.59983
PF01998 93 40 -0.06486 -4.48 0.25794 0.07764
PF02010 643 258 -0.05003 -443.96 0.30275 0.02353
PF02049 89 1334 -0.11609 -23.92 0.47895 0.4473
PF02053 236 15 -0.06793 -137.29 0.37831 0.17355
PF02077 267 133 -0.09311 -207.91 0.52614 0.59346
PF02090 139 56 -0.20608 -95.42 0.75517 0.93343
PF02092 552 1030 -0.11773 -658.35 0.73381 0.84527
PF02104 211 2050 -0.08827 -206.29 0.55809 0.68057
PF02106 557 23 -0.05097 -354.67 0.3134 0.03568
PF02107 182 907 -0.08826 -155.51 0.50647 0.5437
PF02119 341 440 -0.09156 -343.36 0.56526 0.64162
PF02155 376 32 -0.0515 -190.03 0.33405 0.07298
PF02158 364 14 -0.05888 -212.92 0.35746 0.11656
PF02194 269 498 -0.0684 -155.82 0.3914 0.19422
PF02200 110 22 -0.08202 -68.81 0.40071 0.23421
PF02206 66 182 -0.04323 -0.3 0.23622 0.05365
PF02308 131 1938 -0.12439 -114.81 0.63439 0.85012
PF02325 71 2418 -0.19417 -49.51 0.71228 0.91453
PF02340 235 15 -0.0644 -133.04 0.3653 0.15203
PF02343 130 94 -0.08514 -92.72 0.42661 0.29591
PF02382 307 11 -0.05933 -201.72 0.37894 0.16987
PF02392 178 194 -0.10744 -126.78 0.54221 0.64844
PF02394 105 40 -0.06626 -36.18 0.28033 0.10011
PF02405 212 1217 -0.13872 -292.57 0.79868 0.98467
PF02414 295 22 -0.06437 -146.13 0.36128 0.13325
PF02417 168 2541 -0.10102 -92.94 0.48364 0.47246
PF02422 96 45 -0.06204 -11.48 0.25525 0.07466
PF02438 586 18 -0.05104 -422.75 0.31359 0.03675
PF02448 68 31 -0.10656 -22.38 0.4436 0.34154
PF02459 575 21 -0.05116 -406.09 0.31474 0.03802
PF02476 138 14 -0.06286 -81.84 0.30446 0.12085
PF02479 132 18 -0.0769 -71.82 0.38015 0.19426
PF02488 250 958 -0.08418 -156.49 0.453 0.37506
PF02495 57 85 -0.08776 -1.84 0.36726 0.18592
PF02497 178 14 -0.0578 -124.33 0.33386 0.13862
PF02498 87 1555 -0.15671 -63.47 0.66249 0.87678
PF02505 149 53 -0.09709 -114.37 0.49288 0.5001
PF02553 67 168 -0.07244 -10.58 0.29175 0.11003
PF02582 173 562 -0.11934 -104.66 0.56509 0.70746
PF02592 161 952 -0.15107 -162.85 0.73526 0.95133
PF02596 210 598 -0.10681 -218.42 0.65841 0.86947
PF02620 134 3502 -0.11022 -72.74 0.50411 0.54097
PF02646 299 1545 -0.1042 -203.82 0.54065 0.6441
PF02654 235 1934 -0.12827 -269.1 0.74297 0.95287
PF02656 80 1380 -0.18142 -48.08 0.68285 0.87959
PF02674 143 3486 -0.12557 -97.95 0.60339 0.80547
PF02690 137 1960 -0.11661 -105.53 0.58796 0.76382
PF02707 196 16 -0.07497 -142.6 0.41556 0.26629
PF02711 99 38 -0.05591 -21.58 0.24842 0.06735
PF02713 73 46 -0.04748 -4.23 0.23807 0.05657
PF02720 348 2232 -0.09374 -239.14 0.48594 0.47272
PF02722 199 15 -0.07056 -172.1 0.44199 0.34397
PF02862 327 155 -0.06545 -196.47 0.38413 0.17946
PF02890 139 29 -0.08098 -77.66 0.39609 0.22102
PF02989 190 18 -0.06966 -108.67 0.37059 0.17024
PF02990 540 539 -0.08874 -551.17 0.45613 0.33046
PF02992 213 2028 -0.07994 -127.5 0.44047 0.32516
PF03000 297 292 -0.08974 -229.29 0.50657 0.53424
PF03003 131 47 -0.06743 -68.78 0.32119 0.13494
PF03004 150 731 -0.09548 -74.48 0.4362 0.31786
PF03017 66 113 -0.09926 -19.75 0.42176 0.28387
PF03025 72 12 -0.09484 -12.9 0.40031 0.23491
PF03034 272 120 -0.0858 -194.51 0.47707 0.45374
PF03035 252 15 -0.05547 -129.92 0.32799 0.1062
PF03038 423 28 -0.05275 -313.23 0.35509 0.10943
PF03040 229 121 -0.1005 -130.65 0.48328 0.4803
PF03041 165 47 -0.0669 -83.56 0.33395 0.13985
PF03043 643 11 -0.05429 -473.78 0.30646 0.02943
PF03044 322 52 -0.06279 -205.78 0.38436 0.18132
PF03048 190 22 -0.07231 -114.11 0.38228 0.18884
PF03049 254 26 -0.06664 -146.94 0.3785 0.17174
PF03050 288 2126 -0.11977 -252.84 0.65637 0.86388
PF03052 203 14 -0.05802 -98.45 0.30052 0.10079
PF03053 223 20 -0.06453 -111.82 0.35083 0.1374
PF03064 228 12 -0.05474 -92.62 0.2799 0.07844
PF03072 138 13 -0.0672 -82.25 0.33645 0.14916
PF03077 60 34 -0.09305 -25.31 0.41014 0.25916
PF03078 459 60 -0.04768 -241.33 0.31966 0.04492
PF03080 224 592 -0.09056 -198.78 0.54896 0.65759
PF03085 241 37 -0.06746 -134.38 0.37372 0.16396
PF03086 121 11 -0.07417 -59.71 0.35672 0.16854
PF03087 246 415 -0.08637 -182.25 0.48612 0.48147
PF03094 491 230 -0.05252 -264.17 0.32087 0.04444
PF03103 97 89 -0.099 -58.61 0.44987 0.36143
PF03117 266 23 -0.057 -165.93 0.36438 0.14557
PF03121 75 26 -0.12033 -32.61 0.51038 0.52782
PF03124 367 527 -0.08697 -346.39 0.5135 0.51779
PF03134 77 669 -0.14083 -36.47 0.59679 0.74531
PF03135 226 2114 -0.10323 -209.76 0.60629 0.79249
PF03140 381 1366 -0.09319 -340.89 0.51886 0.54054
PF03155 480 831 -0.08801 -451.07 0.46053 0.35939
PF03172 99 44 -0.09993 -38.57 0.42814 0.29962
PF03181 211 225 -0.07543 -156.89 0.43635 0.3256
PF03186 286 1630 -0.13657 -349.76 0.78694 0.97441
PF03189 643 106 -0.05905 -551.69 0.32317 0.05341
PF03196 137 15 -0.06904 -69.94 0.33171 0.1437
PF03197 103 15 -0.07227 -45.67 0.32666 0.14252
PF03206 100 153 -0.14011 -64.17 0.62109 0.79986
PF03208 143 489 -0.10842 -90.53 0.50804 0.54614
PF03217 54 382 -0.13025 -26.44 0.55387 0.63593
PF03231 437 10 -0.05028 -274.62 0.33388 0.067
PF03239 397 619 -0.07056 -274.48 0.39875 0.20772
PF03245 127 285 -0.08866 -18.26 0.37806 0.1806
PF03248 170 134 -0.11951 -95.13 0.54485 0.65226
PF03258 153 641 -0.10989 -101.76 0.52638 0.60278
PF03272 115 245 -0.12438 -113.69 0.64085 0.84655
PF03277 233 18 -0.06497 -126.95 0.36213 0.14813
PF03285 317 41 -0.05425 -180.27 0.35227 0.11265
PF03286 196 14 -0.05629 -95.69 0.28953 0.09298
PF03292 660 12 -0.05083 -485.56 0.30149 0.02373
PF03298 201 181 -0.07899 -143.53 0.43379 0.31784
PF03299 195 106 -0.08796 -95.44 0.40976 0.24856
PF03303 238 13 -0.05459 -105.47 0.2912 0.0847
PF03304 154 39 -0.09062 -99.41 0.44213 0.34208
PF03305 179 46 -0.06253 -99.73 0.32968 0.13285
PF03307 117 15 -0.10001 -52.9 0.43471 0.31821
PF03311 122 184 -0.09857 -57.07 0.43449 0.3166
PF03312 126 47 -0.0789 -66.19 0.38418 0.20031
PF03323 470 1310 -0.09155 -441.34 0.47776 0.40601
PF03324 101 30 -0.08866 -58.25 0.41373 0.26331
PF03338 148 12 -0.06789 -84.31 0.34126 0.15153
PF03339 315 17 -0.05838 -157.8 0.35035 0.11001
PF03348 463 305 -0.07138 -411.63 0.40686 0.22535
PF03350 139 282 -0.13935 -96.01 0.64218 0.8524
PF03353 296 30 -0.05439 -140.54 0.33437 0.0959
PF03356 188 10 -0.05621 -95.44 0.28909 0.09436
PF03362 449 22 -0.05132 -274.72 0.33156 0.06271
PF03381 311 505 -0.08049 -291.86 0.51194 0.53352
PF03382 121 4688 -0.0833 -69.56 0.44717 0.33272
PF03384 55 20 -0.09728 -7.88 0.4074 0.25239
PF03385 388 74 -0.054 -242.72 0.34848 0.09535
PF03386 78 35 -0.13034 -35.84 0.55581 0.64583
PF03387 434 21 -0.05931 -292.98 0.35605 0.11206
PF03396 291 13 -0.06382 -197.71 0.39769 0.21616
PF03400 131 2044 -0.12817 -107.79 0.63618 0.85365
PF03409 359 100 -0.06774 -290.59 0.41933 0.26819
PF03419 297 710 -0.11324 -259.89 0.63661 0.82621
PF03430 570 44 -0.0593 -319.17 0.31256 0.03497
PF03434 289 1599 -0.07881 -196.87 0.4532 0.3693
PF03436 69 1 -0.07785 -27.64 0.34071 0.16051
PF03469 131 190 -0.09286 -62.78 0.42049 0.27714
PF03478 58 1171 -0.10146 -15.22 0.43062 0.29739
PF03504 91 7370 -0.14597 -81.16 0.69328 0.91571
PF03509 66 10 -0.05588 -3.69 0.24555 0.06582
PF03511 63 22 -0.07305 -6.21 0.28607 0.10649
PF03521 291 30 -0.05901 -161.63 0.35996 0.13153
PF03526 55 40 -0.05569 -0.17 0.24542 0.06586
PF03542 347 168 -0.10951 -364.45 0.68016 0.83795
PF03554 81 26 -0.01708 -0.1 0.22783 0.04121
PF03563 285 32 -0.05839 -160.81 0.35966 0.1323
PF03580 145 20 -0.04413 -26.3 0.23681 0.05115
PF03581 85 29 -0.0604 -7.55 0.25171 0.07161
PF03586 251 20 -0.07678 -127.62 0.38762 0.19232
PF03591 141 1409 -0.14682 -129.5 0.69874 0.92518
PF03608 167 37 -0.09729 -82.6 0.43782 0.32935
PF03609 232 578 -0.13145 -180.09 0.66123 0.88585
PF03612 181 77 -0.08238 -108.25 0.41057 0.25136
PF03613 298 576 -0.09449 -233.29 0.52819 0.59424
PF03614 167 10 -0.07365 -101.86 0.38334 0.1953
PF03619 270 574 -0.12195 -287.8 0.72629 0.93206
PF03626 81 886 -0.15386 -34.31 0.62277 0.79798
PF03631 255 4172 -0.12342 -255.98 0.68777 0.90705
PF03634 155 129 -0.06415 -64.09 0.29422 0.10552
PF03653 145 2463 -0.15285 -164.93 0.75218 0.9636
PF03661 238 412 -0.11532 -180.12 0.6113 0.80884
PF03669 99 196 -0.08615 -37.22 0.39062 0.20976
PF03672 60 75 -0.10808 -1.51 0.42812 0.29836
PF03676 400 178 -0.05525 -240.71 0.34626 0.08967
PF03677 237 27 -0.06319 -129.66 0.35855 0.1423
PF03682 157 527 -0.13112 -116.7 0.63958 0.85437
PF03684 141 127 -0.10175 -108.47 0.50714 0.54201
PF03690 320 439 -0.10966 -314.63 0.65909 0.83418
PF03692 106 3077 -0.09236 -59.66 0.44978 0.3476
PF03700 134 24 -0.0612 -48.16 0.26834 0.08507
PF03706 315 7666 -0.12233 -334.46 0.65459 0.86219
PF03707 59 2021 -0.13331 -11.6 0.5443 0.6336
PF03729 71 3202 -0.17158 -27.97 0.66403 0.88022
PF03733 51 388 -0.17782 -21.34 0.70745 0.84904
PF03741 205 1036 -0.13877 -224.26 0.75326 0.96192
PF03755 156 1705 -0.15046 -144.44 0.71936 0.94119
PF03760 71 65 -0.17921 -37.1 0.71158 0.86114
PF03768 66 23 -0.12782 -36.81 0.55508 0.64057
PF03769 119 105 -0.12671 -84.14 0.60177 0.76935
PF03771 67 157 -0.11985 -27.21 0.5044 0.5097
PF03772 272 4743 -0.11046 -248.75 0.61089 0.7973
PF03773 349 1394 -0.07248 -285.86 0.44618 0.34054
PF03777 56 179 -0.05502 -3.3 0.2469 0.06654
PF03780 107 2186 -0.16158 -118.28 0.73637 0.95157
PF03782 146 172 -0.07224 -63.5 0.34794 0.1525
PF03788 94 1084 -0.05952 -10.95 0.26564 0.07701
PF03792 193 39 -0.08642 -111.74 0.42095 0.28047
PF03798 268 207 -0.08813 -177.94 0.47211 0.44039
PF03802 165 436 -0.14484 -187.86 0.74891 0.95982
PF03804 73 10 -0.11682 -27.8 0.48837 0.46643
PF03808 168 2265 -0.15123 -168.77 0.74292 0.95785
PF03817 118 63 -0.09581 -56.72 0.42718 0.29716
PF03818 59 70 -0.09469 -5.4 0.39676 0.22901
PF03820 307 238 -0.08564 -254.77 0.50408 0.52083
PF03821 234 60 -0.07042 -128.58 0.37799 0.17233
PF03823 58 16 -0.05818 -5.24 0.24957 0.07064
PF03837 201 601 -0.13529 -184.81 0.70514 0.92747
PF03839 225 103 -0.07115 -87.09 0.3536 0.13873
PF03842 540 22 -0.05459 -323.5 0.31686 0.04022
PF03856 243 95 -0.08522 -229.68 0.54236 0.62856
PF03857 138 39 -0.085 -65.28 0.3979 0.22346
PF03859 115 56 -0.08748 -66.14 0.41312 0.26062
PF03862 117 208 -0.13853 -67.88 0.61542 0.79417
PF03878 254 473 -0.08325 -207.14 0.49407 0.50138
PF03899 108 650 -0.15676 -68.19 0.65248 0.85982
PF03904 230 10 -0.03547 -58.53 0.23351 0.04041
PF03907 231 69 -0.07934 -128.38 0.40128 0.22661
PF03929 458 2048 -0.09505 -380.87 0.46968 0.39584
PF03954 135 24 -0.08197 -18.69 0.34591 0.15115
PF03963 98 679 -0.07219 -20.79 0.31612 0.12237
PF03981 138 571 -0.15683 -119.35 0.70191 0.92339
PF03988 69 134 -0.11857 -21.46 0.4879 0.46385
PF03994 65 522 -0.18855 -29.04 0.72522 0.87198
PF04009 106 26 -0.09646 -81.32 0.46601 0.41072
PF04018 246 925 -0.11973 -257.78 0.70963 0.92255
PF04019 124 358 -0.1334 -104.45 0.64636 0.85781
PF04020 105 1550 -0.18268 -94.08 0.73125 0.93915
PF04024 58 2365 -0.14371 -18.83 0.59358 0.75024
PF04025 73 435 -0.13899 -50.73 0.61275 0.7774
PF04031 276 35 -0.06559 -148.29 0.37057 0.15393
PF04061 135 96 -0.09572 -80.31 0.44604 0.35214
PF04064 55 120 -0.15789 -18.79 0.63913 0.77398
PF04065 230 135 -0.16557 -213.26 0.77616 0.97189
PF04070 58 420 -0.16451 -26.81 0.65766 0.81443
PF04081 129 78 -0.07014 -58.85 0.32781 0.13957
PF04087 222 517 -0.07414 -130.49 0.39808 0.21201
PF04088 142 109 -0.08293 -19.16 0.35308 0.15418
PF04109 535 209 -0.05264 -378.26 0.32559 0.05237
PF04112 170 259 -0.094 -123.7 0.48484 0.47797
PF04113 583 254 -0.06142 -575.61 0.36076 0.11898
PF04120 128 327 -0.076 -36.48 0.34456 0.14758
PF04123 349 175 -0.09486 -264.47 0.50317 0.51383
PF04133 120 135 -0.12907 -61.82 0.57046 0.69929
PF04143 311 858 -0.09231 -346.73 0.6185 0.7556
PF04144 176 227 -0.12226 -139.74 0.62753 0.83581
PF04148 206 170 -0.08981 -132.56 0.46137 0.40788
PF04149 54 2293 -0.13309 -10.65 0.5453 0.63756
PF04168 311 1011 -0.12072 -312.65 0.70308 0.90238
PF04173 166 4601 -0.11348 -133.91 0.58444 0.76247
PF04178 118 376 -0.15496 -91.58 0.67 0.88701
PF04186 109 1122 -0.16026 -71.32 0.66532 0.88222
PF04188 486 424 -0.06842 -396.73 0.38233 0.16617
PF04194 166 352 -0.07734 -96.52 0.39473 0.20971
PF04195 69 273 -0.14707 -20.3 0.59326 0.71426
PF04202 71 16 -0.0663 -1.66 0.26112 0.08254
PF04206 273 15 -0.07477 -179.16 0.42736 0.30178
PF04207 215 14 -0.06855 -145.32 0.39317 0.20787
PF04211 267 29 -0.06685 -205.1 0.42806 0.3019
PF04213 166 512 -0.1222 -170.35 0.67538 0.90073
PF04217 141 74 -0.11486 -85.57 0.53072 0.60878
PF04219 90 134 -0.122 -31.35 0.50677 0.52289
PF04220 159 100 -0.0757 -70.78 0.36805 0.17082
PF04224 197 366 -0.11191 -193.38 0.65214 0.86785
PF04233 128 1976 -0.16172 -92.67 0.69323 0.9192
PF04235 165 1825 -0.12954 -114.51 0.62391 0.83881
PF04240 215 646 -0.12535 -238.92 0.73064 0.9443
PF04241 88 1108 -0.1775 -43.49 0.66902 0.86127
PF04245 318 935 -0.10766 -291.42 0.61934 0.78461
PF04246 134 1292 -0.13339 -80.7 0.61375 0.80737
PF04247 120 462 -0.16494 -119.75 0.72546 0.93663
PF04250 234 677 -0.11975 -251.36 0.71556 0.92893
PF04254 123 182 -0.08762 -91.3 0.43721 0.32505
PF04256 55 152 -0.17342 -26.88 0.70069 0.84403
PF04259 86 51 -0.06245 -11.74 0.25734 0.07738
PF04276 205 145 -0.0714 -130.74 0.39023 0.19989
PF04277 80 1126 -0.00125 -0.12 0.22788 0.0373
PF04279 176 1787 -0.14593 -152.35 0.70334 0.92956
PF04281 131 151 -0.0329 -13.13 0.2313 0.04435
PF04284 140 105 -0.09949 -86.85 0.46611 0.41413
PF04286 364 691 -0.10464 -258.98 0.51992 0.5637
PF04290 133 8685 -0.18767 -103.97 0.76544 0.97116
PF04293 433 204 -0.08199 -369.55 0.44088 0.31984
PF04294 130 1005 -0.14755 -152.13 0.73474 0.95081
PF04295 387 398 -0.11662 -562.46 0.8161 0.97794
PF04304 115 1249 -0.14337 -67.96 0.63169 0.83398
PF04306 137 899 -0.14781 -128.01 0.69797 0.92322
PF04307 249 577 -0.08951 -204.7 0.52731 0.59862
PF04308 142 212 -0.14633 -161.69 0.73324 0.94828
PF04322 118 49 -0.09818 -86.89 0.47344 0.43463
PF04328 63 280 -0.0978 -7.14 0.40773 0.24759
PF04332 319 127 -0.08558 -241.61 0.47976 0.45387
PF04336 105 622 -0.12324 -45.84 0.5318 0.60454
PF04341 88 800 -0.14247 -34.19 0.59429 0.74408
PF04342 104 81 -0.14244 -66.66 0.62684 0.81092
PF04343 109 1638 -0.13711 -85.28 0.64355 0.85778
PF04346 351 127 -0.07478 -302.5 0.4528 0.36313
PF04347 85 1703 -0.07881 -20.96 0.37753 0.16589
PF04360 149 11 -0.0557 -78.53 0.27306 0.08722
PF04361 158 274 -0.10587 -101.84 0.50368 0.53431
PF04367 106 1203 -0.06868 -34.55 0.32993 0.12737
PF04368 182 168 -0.12439 -143.42 0.63379 0.84674
PF04369 60 60 -0.06282 -3.14 0.25653 0.07787
PF04370 150 10 -0.06753 -79.82 0.33102 0.14177
PF04375 332 706 -0.07785 -215.8 0.43222 0.3084
PF04376 78 593 -0.07267 -16.64 0.31282 0.12302
PF04385 92 326 -0.09811 -50.23 0.44106 0.33439
PF04387 184 405 -0.11464 -151.1 0.6105 0.80691
PF04393 281 317 -0.11543 -259.72 0.66928 0.86956
PF04395 234 24 -0.06044 -135.43 0.35582 0.13963
PF04403 158 1023 -0.13686 -133.71 0.6693 0.89799
PF04404 169 664 -0.12901 -147.84 0.66069 0.88666
PF04409 520 27 -0.06418 -360.09 0.34418 0.08904
PF04411 157 422 -0.12304 -139.03 0.64455 0.86165
PF04415 448 41 -0.06282 -280.74 0.35185 0.10298
PF04417 192 173 -0.08808 -129.66 0.45691 0.39125
PF04418 75 147 -0.20986 -38.4 0.81197 0.92616
PF04426 285 147 -0.06136 -200.72 0.39747 0.21443
PF04428 79 49 -0.08955 -19.88 0.389 0.21185
PF04435 104 342 -0.12032 -45.84 0.5198 0.56974
PF04440 146 34 -0.04874 -23.06 0.23976 0.05446
PF04448 96 102 -0.06985 -40.24 0.30745 0.12432
PF04457 76 290 -0.13908 -46.31 0.60507 0.75904
PF04459 217 323 -0.11991 -175.19 0.63569 0.85015
PF04463 135 1155 -0.13598 -129.72 0.67691 0.90472
PF04467 124 83 -0.07096 -52.09 0.32513 0.13731
PF04468 117 291 -0.12499 -76.99 0.58404 0.73305
PF04474 228 487 -0.13427 -268.67 0.76894 0.96822
PF04479 226 1703 -0.14367 -290.36 0.79675 0.98363
PF04483 57 197 -0.15962 -22.98 0.64557 0.79004
PF04484 327 143 -0.04886 -94.69 0.26374 0.04794
PF04489 427 13 -0.04958 -273.27 0.33586 0.07073
PF04497 716 26 -0.04356 -599.57 0.29455 0.01773
PF04499 649 199 -0.05674 -416.01 0.30267 0.0241
PF04501 252 31 -0.0556 -156.45 0.35664 0.13642
PF04503 303 28 -0.04676 -111.23 0.26795 0.05338
PF04505 68 649 -0.19584 -54.25 0.74494 0.90624
PF04510 176 25 -0.10405 -136.93 0.5453 0.65461
PF04513 140 16 -0.03661 -11.53 0.23181 0.0453
PF04515 357 759 -0.1044 -371.79 0.63931 0.77596
PF04518 386 12 -0.05916 -236.16 0.3564 0.113
PF04526 102 214 -0.10711 -65.34 0.49288 0.49126
PF04528 145 32 -0.07198 -87.31 0.37187 0.182
PF04529 480 17 -0.05223 -348.06 0.33824 0.07498
PF04531 82 317 -0.1294 -33.38 0.54705 0.63091
PF04532 220 10 -0.05938 -151.72 0.37059 0.1648
PF04533 214 10 -0.05111 -110.34 0.28323 0.0829
PF04535 150 615 -0.15337 -162.11 0.74279 0.95526
PF04537 172 17 -0.0781 -121.21 0.41275 0.25878
PF04538 122 14 -0.06228 -36.69 0.26456 0.08279
PF04540 158 12 -0.07433 -82.2 0.37176 0.17861
PF04544 185 23 -0.07307 -123.41 0.39303 0.21114
PF04549 149 13 -0.07725 -107.3 0.40681 0.24615
PF04553 124 32 -0.05731 -39.77 0.25606 0.07343
PF04555 191 118 -0.0933 -150.41 0.50822 0.55131
PF04562 114 50 -0.07507 -51.35 0.35336 0.16515
PF04569 51 17 -0.06039 -2.84 0.25237 0.0741
PF04571 103 127 -0.07926 -56.12 0.3835 0.20134
PF04573 170 257 -0.08009 -134.07 0.43999 0.33407
PF04577 227 1376 -0.10737 -202.72 0.61798 0.81615
PF04578 54 245 -0.16073 -14.31 0.64287 0.77757
PF04580 245 20 -0.06725 -165.57 0.40014 0.22315
PF04583 227 28 -0.06801 -106.91 0.35699 0.14374
PF04584 141 14 -0.05715 -59.72 0.26467 0.08036
PF04586 162 1811 -0.11486 -156.44 0.63643 0.8534
PF04595 324 17 -0.05348 -196.06 0.3554 0.11717
PF04596 137 10 -0.07604 -97.94 0.39881 0.22977
PF04609 270 24 -0.06348 -173.79 0.38643 0.18836
PF04610 219 630 -0.1099 -140.02 0.54625 0.66612
PF04618 101 77 -0.06649 -34.71 0.28177 0.10116
PF04620 250 35 -0.06642 -202.39 0.43403 0.3195
PF04623 68 13 -0.04965 -5.81 0.23958 0.05897
PF04629 257 80 -0.05915 -119.84 0.33677 0.11045
PF04630 200 502 -0.09648 -197.89 0.5962 0.76806
PF04631 375 27 -0.05053 -221.28 0.34123 0.08353
PF04632 685 993 -0.07517 -827.72 0.41175 0.2015
PF04633 349 18 -0.06508 -219.2 0.38401 0.18035
PF04639 300 37 -0.0571 -172.56 0.35941 0.12878
PF04647 180 1025 -0.13008 -164.29 0.67668 0.90461
PF04651 183 14 -0.05985 -100.37 0.3129 0.11703
PF04654 209 382 -0.11739 -170.09 0.62766 0.83777
PF04659 95 95 -0.10818 -59.06 0.49112 0.48363
PF04661 261 12 -0.05618 -136.68 0.34001 0.11249
PF04662 228 25 -0.06105 -129.0 0.35327 0.13826
